pH,EC,Total Hardness,Ca,Mg,Cl,SO4,NO3,F,Potable,WQI,WQI_Category
7.96,395.0,160.0,12.0,32.0,14.0,28.0,8.0,0.18,1,46.17467925441782,Excellent
8.19,473.0,135.0,26.0,17.0,96.0,50.0,10.0,0.0,1,45.275938029532796,Excellent
8.19,556.0,230.0,38.0,33.0,28.0,51.0,1.0,0.0,0,54.62532074558218,Good
8.07,487.0,95.0,18.0,12.0,57.0,0.0,2.0,0.16,1,35.93350278382958,Excellent
8.02,567.0,230.0,28.0,39.0,39.0,29.0,11.0,0.13,0,60.720793996610986,Good
8.2,526.0,160.0,34.0,18.0,25.0,28.0,0.0,0.38,1,47.19535221496006,Excellent
8.15,233.0,70.0,24.0,2.0,25.0,12.0,3.0,0.0,1,23.460421205519246,Excellent
8.13,457.0,220.0,14.0,45.0,32.0,26.0,1.0,0.12,0,53.1359961268458,Good
8.09,413.0,180.0,34.0,23.0,25.0,8.0,2.0,0.0,1,42.6632776567417,Excellent
8.08,276.0,95.0,24.0,9.0,21.0,13.0,4.0,0.0,1,28.772670055676592,Excellent
8.18,271.0,105.0,8.0,21.0,28.0,15.0,2.0,0.0,1,30.824425078673443,Excellent
8.25,72.0,30.0,6.0,4.0,7.0,1.0,1.0,0.03,1,14.030694747034616,Excellent
8.12,1081.0,255.0,12.0,55.0,163.0,186.0,0.0,0.69,0,90.31946259985476,Good
8.14,315.0,130.0,32.0,12.0,28.0,12.0,2.0,0.0,1,33.375986443960294,Excellent
8.15,353.0,165.0,12.0,33.0,14.0,30.0,0.0,0.0,1,40.51103848946987,Excellent
8.17,628.0,320.0,14.0,69.0,28.0,10.0,3.0,0.0,0,70.46797385620916,Good
8.13,342.0,140.0,24.0,19.0,18.0,7.0,0.0,0.03,1,35.062745098039215,Excellent
8.16,247.0,80.0,14.0,11.0,39.0,11.0,1.0,0.02,1,26.023868312757205,Excellent
7.91,416.0,190.0,34.0,26.0,21.0,2.0,20.0,0.11,1,52.6718470104091,Good
8.21,298.0,95.0,24.0,9.0,35.0,0.0,2.0,0.0,1,28.539457758412006,Excellent
8.01,427.0,200.0,16.0,39.0,35.0,13.0,11.0,0.42,1,56.679980634229,Good
7.91,294.0,70.0,26.0,1.0,21.0,25.0,26.0,0.27,1,37.84468651658194,Excellent
8.03,405.0,190.0,12.0,39.0,35.0,11.0,6.0,0.11,1,49.047204066811915,Excellent
8.08,703.0,230.0,22.0,43.0,103.0,8.0,3.0,0.0,0,60.94509803921569,Good
8.22,541.0,200.0,14.0,40.0,28.0,37.0,13.0,0.16,1,58.046526264826916,Good
8.21,290.0,115.0,16.0,18.0,18.0,12.0,3.0,0.0,1,31.953449527959332,Excellent
8.02,558.0,225.0,24.0,40.0,28.0,14.0,9.0,0.46,0,62.36811909949165,Good
7.95,441.0,170.0,34.0,21.0,35.0,32.0,8.0,0.42,1,50.7758412006778,Good
7.81,886.0,215.0,28.0,35.0,142.0,7.0,2.0,0.0,0,63.0279109174534,Good
8.2,301.0,100.0,16.0,15.0,43.0,16.0,2.0,0.0,1,30.74926167998063,Excellent
8.02,406.0,175.0,18.0,32.0,50.0,31.0,3.0,0.08,1,46.10639070442991,Excellent
8.1,513.0,145.0,22.0,22.0,74.0,0.0,2.0,0.0,1,42.204091019123695,Excellent
7.96,1023.0,205.0,28.0,33.0,163.0,0.0,42.0,0.0,0,82.0689179375454,Good
